user_id,screen_name,id,text,retweet_count,favorite_count,name,gender,party
16256269,virginiafoxx,9.79415E+17,RT @DeptVetAffairs: Today is National Vietnam War Veterans Day. Take a moment today to say thank you to a Veteran who served during the con…,455,0,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.74292E+17,@MargaretEdu it was an honor to talk higher ed issues with you this morning! Thank you for coming in! https://t.co/RUUlcSRj1o,0,3,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.74026E+17,RT @EdWorkforce: Chairwoman @virginiafoxx following the passage of the STOP School Violence Act of 2018: “All children must be safe in scho…,2,0,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.5853E+17,"As @POTUS says, companies are coming back to the United States, because they want to be where the action is. #AmericaFirst #SOTU2018 #MAGA",4,10,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.73654E+17,"RT @EdWorkforce: “Every student in every school deserves an excellent education” -@virginiafoxx

This week and every week we applaud the ha…",8,0,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.71807E+17,"RT @EdWorkforce: On #InternationalWomensDay, Chairwoman @virginiafoxx shares stories from a life committed to empowering women to achieve w…",12,0,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.69678E+17,It was an honor to attend Reverend Graham's celebration of life today. Reverend Graham will be missed by those who… https://t.co/yVk1YaTDOu,6,31,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.68881E+17,"Reverend Graham's love of the Lord was truly inspiring. He will be missed. Happening Now: members of Congress, the… https://t.co/TG9b82g5gw",13,15,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.68606E+17,Great having you in the office! Thanks #wakeforestneuro ! https://t.co/GZOgMhx0na,1,5,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.5853E+17,"Thankfully, with @POTUS’ leadership we have eliminated more red-tape  regulations that have stifled our economy and growth. #SOTU2018",4,14,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.6855E+17,Thanks @LibertyOSD for having me! It was an honor. https://t.co/cqXTFje5vO,2,8,Virginia Ann Foxx,female,republican
16256269,virginiafoxx,9.66709E+17,"RT @SpeakerRyan: So members of the public can pay their respects, the late Rev. Billy Graham will lie in honor in the U.S. Capitol Rotunda…",2281,0,Virginia Ann Foxx,female,republican
